,movies,year,rating,genre,votes,gross
216,A Wednesday,2008,8.1,Crime,71021,NA
217,Gran Torino,2008,8.1,Drama,696578,148.10
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,Adventure,728151,381.01
219,Shutter Island,2010,8.1,Mystery,1070139,128.01
220,Okuribito,2008,8.1,Drama,46760,1.50
221,Hachi: A Dog's Tale,2009,8.1,Drama,239293,NA
222,Mary and Max,2009,8.1,Animation,157971,NA
223,How to Train Your Dragon,2010,8.1,Animation,640457,217.58
224,Tropa de Elite,2007,8.1,Action,95143,0.01
225,Into the Wild,2007,8.1,Adventure,548450,18.35
226,No Country for Old Men,2007,8.1,Crime,810946,74.28
227,Lage Raho Munna Bhai,2006,8.1,Comedy,40735,2.22
228,Million Dollar Baby,2004,8.1,Drama,612068,100.49
229,Hotel Rwanda,2004,8.1,Biography,324587,23.53
230,Taegukgi hwinalrimyeo,2004,8.1,Action,36842,1.11
231,Munna Bhai M.B.B.S.,2003,8.1,Comedy,69520,NA
232,Salinui chueok,2003,8.1,Action,120226,0.01
233,Dil Chahta Hai,2001,8.1,Comedy,63834,0.30
234,Kill Bill: Vol. 1,2003,8.1,Action,958706,70.10
235,Finding Nemo,2003,8.1,Animation,912564,380.84
236,Catch Me If You Can,2002,8.1,Biography,776919,164.62
237,Amores perros,2000,8.1,Drama,215198,5.38
238,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,Animation,34071,NA
239,Lagaan: Once Upon a Time in India,2001,8.1,Adventure,99372,0.07
240,The Sixth Sense,1999,8.1,Drama,880107,293.51
241,La leggenda del pianista sull'oceano,1998,8.1,Drama,56128,0.26
242,The Truman Show,1998,8.1,Comedy,887426,125.62
243,"Crna macka, beli macor",1998,8.1,Comedy,48997,0.35
244,The Big Lebowski,1998,8.1,Comedy,697312,17.50
245,Faa yeung nin wa,2000,8.1,Drama,114954,2.73
246,Trainspotting,1996,8.1,Drama,614241,16.50
247,Fargo,1996,8.1,Crime,589489,24.61
248,Underground,1995,8.1,Comedy,53227,0.17
249,La haine,1995,8.1,Crime,139625,0.31
250,Dilwale Dulhania Le Jayenge,1995,8.1,Drama,60484,NA
251,Before Sunrise,1995,8.1,Drama,254171,5.54
252,Trois couleurs: Rouge,1994,8.1,Drama,84835,4.04
253,Chung Hing sam lam,1994,8.1,Comedy,57614,0.60
254,Jurassic Park,1993,8.1,Action,825017,402.45
255,In the Name of the Father,1993,8.1,Biography,148955,25.01
256,Da hong deng long gao gao gua,1991,8.1,Drama,27829,2.60
257,Dead Poets Society,1989,8.1,Comedy,399440,95.86
258,The Princess Bride,1987,8.1,Adventure,376711,30.86
259,Stand by Me,1986,8.1,Adventure,348622,52.29
260,Platoon,1986,8.1,Drama,367228,138.53
261,"Paris, Texas",1984,8.1,Drama,82232,2.18
262,Kaze no tani no Naushika,1984,8.1,Animation,139035,0.50
263,The Thing,1982,8.1,Horror,351768,13.78
264,Fitzcarraldo,1982,8.1,Adventure,29399,NA
265,Fanny och Alexander,1982,8.1,Drama,54561,4.97
266,Blade Runner,1982,8.1,Action,664400,32.87
267,The Elephant Man,1980,8.1,Biography,209653,NA
268,Life of Brian,1979,8.1,Comedy,352431,20.05
269,The Deer Hunter,1978,8.1,Drama,298342,48.98
270,Rocky,1976,8.1,Drama,497015,117.24
271,Network,1976,8.1,Drama,138586,NA
272,Barry Lyndon,1975,8.1,Adventure,141176,NA
273,Zerkalo,1975,8.1,Biography,36348,0.18
274,Viskningar och rop,1972,8.1,Drama,28069,NA
275,Solaris,1972,8.1,Drama,75527,NA
276,Le samouraï,1967,8.1,Crime,42447,0.04
277,Cool Hand Luke,1967,8.1,Crime,155395,16.22
278,Persona,1966,8.1,Drama,94811,NA
279,La battaglia di Algeri,1966,8.1,Drama,49653,0.06
280,El ángel exterminador,1962,8.1,Drama,27769,NA
281,What Ever Happened to Baby Jane?,1962,8.1,Drama,47668,4.05
282,Sanjuro,1962,8.1,Action,30198,NA
283,The Man Who Shot Liberty Valance,1962,8.1,Drama,65763,NA
284,Ivanovo detstvo,1962,8.1,Drama,28923,NA
